video_id,comment_id,text,like_count_x,published_at,reply_count,word_count,text_clean,title,channel,view_count,like_count_y,wc,aspect,sentiment,intent
JK2ABhWdpBI,UgxkIySMeGh-_G39zMJ4AaABAg,Vai 15 pro er dam kombe ..?,0,2026-09-11T05:22:49Z,0,7,vai 15 pro er dam kombe ..?,iPhone 18 Pro Max - তুমি তো এবার হারিয়ে যাবে Duo এর আগমনে! ,SamZone,949223,19009,7,SKIPPED,SKIPPED,SKIPPED
Zt-fS0DH8BQ,UgyeUu6wzMuAOWZkm0x4AaABAg,Did they add an HDR off button? Or am I still going to get 16 photos stitched together and fudging up the shadows in &quot;pro&quot; mode?,0,2026-09-11T12:20:23Z,0,26,"did they add an hdr off button? or am i still going to get 16 photos stitched together and fudging up the shadows in ""pro"" mode?",iPhone 18 Pro & Duo: A Photographer's Reaction,Tyler Stalman,521951,6481,26,camera,negative,unknown
02KQtlid_Kc,UgyGgdzr7UDdelvT5cF4AaABAg,OMG YOURE FINALLY BACK AGAIN❤❤❤❤❤!!!! GREAT VIDEO,1,2026-09-11T00:41:15Z,0,7,omg youre finally back again ! great video,"Unboxing $7,300 Apple Mystery Box.. IPHONE DUO INSIDE!?!?",XtremeGamez,35224,591,8,none / general,positive,unknown
2qNfOa5AuVU,UgwRKW-RV7KN2X2Fuj14AaABAg,Been having a Fold 7 since launch and it only took me a few weeks to not notice the crease. I do like the open and closing transitions.,5,2026-09-10T00:09:00Z,2,28,been having a fold 7 since launch and it only took me a few weeks to not notice the crease. i do like the open and closing transitions.,I Tried the iPhone Duo... Is It Worth It?,Tom’s Guide,314367,3007,28,display,positive,unknown
dzGkj5TTUKM,UgzltFd10M4csEwMHsB4AaABAg,How can I win give away,0,2026-09-11T09:26:27Z,0,6,how can i win give away,"iPhone 18 Pro Max ,iPhone Duo Launch | Price in Pakistan?",VideoWaliSarkar,443229,4810,6,SKIPPED,SKIPPED,SKIPPED
_4DqqXrPcf0,UgxO-scBDgkJGl6nccZ4AaABAg,"The 18 Pro also comes with the 2TB option, which wasn’t the case for/on the 17 Pro.",0,2026-09-12T10:27:53Z,0,17,"the 18 pro also comes with the 2tb option, which wasn’t the case for/on the 17 pro.",iPhone 18 Pro or iPhone 17 Pro 🤔,mobiscrub,899825,21295,17,upgrade,neutral,unknown
8Vh_zxj64-c,UgwXGEvCfPQFthkzn9B4AaABAg,"$4,500 Canadian. Yeah, no thanks.",0,2026-09-10T06:11:07Z,0,5,"$4,500 canadian. yeah, no thanks.",iPhone Duo is SO Expensive...,Andres Vidoza,272620,7327,5,price,negative,not_buying
BMWXCpU1A6A,UgxJOwAVcf0EDdIs6ZV4AaABAg,"From what I&#39;m seeing so far, i don&#39;t like the color science of the 18s. I&#39;m hoping I&#39;m wrong, but skin tones and colors don&#39;t look well represented. Let&#39;s see.",1,2026-09-10T21:18:21Z,0,30,"from what i'm seeing so far, i don't like the color science of the 18s. i'm hoping i'm wrong, but skin tones and colors don't look well represented. let's see.",iPhone 18 Pro Max vs Samsung Galaxy S26 Ultra - Did NOT Expect This.,XEETECHCARE,159368,1150,30,camera,negative,unknown
kb8yuvdbbq8,Ugy6uwXRFe__HAgPYpR4AaABAg,i carry both and i like duo better. getting rid of my fold 4 .,0,2026-09-12T17:38:49Z,0,15,i carry both and i like duo better. getting rid of my fold 4 .,iPhone Duo vs Z Fold 8 // Just Stop It!,TechOdyssey,40486,1008,15,comparison_samsung,positive,buy
XRKjMvfYV0o,UgzKO9oOIsmTEAq9tiF4AaABAg,Is it £1999 cause its 1 tb?,0,2026-09-12T15:22:24Z,0,7,is it £1999 cause its 1 tb?,iPhone Duo Hands-On - What You NEED to Know!,The Tech Chap,1269878,8878,7,price,neutral,unknown
1iWiG7NcPDs,UgxSiWfeeNqVxg_Z0F94AaABAg,ap log kuch mt lo iqoo lo job kro paisa kamwo ghar ka name badhwo,0,2026-09-10T07:09:13Z,0,15,ap log kuch mt lo iqoo lo job kro paisa kamwo ghar ka name badhwo,iPhone 18 Pro: The Most Expensive Gaming iPhone Ever? 😳,Gaming Pathshala,127907,2045,15,SKIPPED,SKIPPED,SKIPPED
5pV3D14y1FQ,Ugx7Y-Z_b6vTmm-vPEx4AaABAg,Guess what? I got a 15 second unskippable Samsung Z Fold 8 Ad before this.,35,2026-09-10T10:28:23Z,0,15,guess what? i got a 15 second unskippable samsung z fold 8 ad before this.,iPhone Duo/18 Pro Hands On - I wasn’t ready,Mrwhosetheboss,11503721,131416,15,comparison_samsung,neutral,unknown
-4ZHytn6LgM,UgzDaO2JG_AETaWhraF4AaABAg,When I will buy my new laptop and smartphone plz tell best best ?,0,2026-09-10T01:20:48Z,3,14,when i will buy my new laptop and smartphone plz tell best best ?,Apple iPhone Duo Exclusive First Look - World's Best Foldable!🔥🔥🔥,Technical Guruji,665548,7061,14,SKIPPED,SKIPPED,SKIPPED
ZzGzNdppGS8,UgyngqOGrp6MuvaerEt4AaABAg,Ugly as heck. No thanks. I’m trying to leave Apple. Sadly it’s harder than you’d think.,0,2026-09-09T18:58:49Z,0,16,ugly as heck. no thanks. i’m trying to leave apple. sadly it’s harder than you’d think.,"Apple Unveils $1,999 Foldable iPhone Duo",Bloomberg Television,149189,511,16,foldable_design,negative,not_buying
3eODZWGo6hE,UgzkBCiR4fbyfsqVId14AaABAg,If they limit on device control like alarms and calendar stuff…. The new service is dead in the water.,0,2026-09-11T12:56:38Z,0,19,if they limit on device control like alarms and calendar stuff…. the new service is dead in the water.,What Apple DIDN’T Tell You About iPhone 18 Pro & iPhone Duo!,9to5Mac,581845,7820,19,ai_siri,negative,unknown
IMLcY2WEzi0,UgwKgKi-IOeF00w1ImF4AaABAg,Please unboxing the Xiaomi 18 fold please 🥺 🙏🙏🙏,1,2026-09-13T03:28:39Z,0,9,please unboxing the xiaomi 18 fold please 🥺,iPhone Duo & iPhone 18 Pro Max First Look - A New Battle Begins!,Technology Gyan,2197410,18262,8,SKIPPED,SKIPPED,SKIPPED
GZPKac9mu0o,UgyjMLeah5JJjE53A8J4AaABAg,"Ok people commenting on how zfold 8 is cheaper, a 100 dollar cheaper, but the duo is offering more than the zf8 at a lower price than the zf8 ultra. So for those 100 dollars more on the duo you get <br>1. Wireless charging <br>2. Apple Pencil, a.k.a stylus,  support, <br>3. C2 modem that allows you to connect to satellite service.<br>4. Bluetooth 6, zfold 8 has 5.#<br>5. Ip 68, higher than zfold 8 ip48<br>6. A full screen experience when un folded, aka no hole puncture. <br>7. Better speaker placement, supports dolby vision, Spatial Audio and more…<br><br>So you see, yes it cost 100 dollars more than the zfold 8 but it brings more to the table with those 100 dollars extra at a lower price than the zfold 8 ultra",0,2026-09-12T04:43:12Z,0,129,"ok people commenting on how zfold 8 is cheaper, a 100 dollar cheaper, but the duo is offering more than the zf8 at a lower price than the zf8 ultra. so for those 100 dollars more on the duo you get 1. wireless charging 2. apple pencil, a.k.a stylus, support, 3. c2 modem that allows you to connect to satellite service. 4. bluetooth 6, zfold 8 has 5.# 5. ip 68, higher than zfold 8 ip48 6. a full screen experience when un folded, aka no hole puncture. 7. better speaker placement, supports dolby vision, spatial audio and more… so you see, yes it cost 100 dollars more than the zfold 8 but it brings more to the table with those 100 dollars extra at a lower price than the zfold 8 ultra",iPhone Duo vs Samsung Galaxy Z Fold 8 - This is Embarrassing.,XEETECHCARE,275304,2616,133,comparison_samsung,positive,considering
TEcKFbOBhTc,UgwALEwjCphVBogg2K14AaABAg,Kuch bhi naya hai 30000 badme ke hisab se <br>30000 me to new android phone aa jayega,0,2026-09-11T02:40:52Z,0,17,kuch bhi naya hai 30000 badme ke hisab se 30000 me to new android phone aa jayega,"iPhone 18 Pro & Pro Max Launched in India: ₹30,000 More! BIG Enough Upgrade?",Jagran HiTech - Auto & Personal Tech,96815,273,17,SKIPPED,SKIPPED,SKIPPED
BZi0R_thP9M,Ugzcp_M6mWYoH_txOv14AaABAg,"Coming from a tradition DSLR camera background and shutter tech. I know for a fact  the camera mechanical aperture will have a live span and if you drop you phone, it could get damaged.",9,2026-09-10T14:13:05Z,3,34,"coming from a tradition dslr camera background and shutter tech. i know for a fact the camera mechanical aperture will have a live span and if you drop you phone, it could get damaged.",iPhone 18 Pro Max HANDS ON: This Camera Is a Big Deal,Tom’s Guide,274776,1558,34,camera,negative,unknown
xifeRNVfnx4,UgzTBDi43madJ4HxMYN4AaABAg,"No soy de lanzar hate, soy de reconocer lo obvio... TSantos es un creador de contenido, crea contenido ya desde hace varios años para Apple, por algo lo siguen invitando, obviamente que todo confabula para que lo que cada año anuncien, cada año ¨Sea mas y mas INCREIBLE, ASOMBROSO, LO MEJOR¨ y sabemos que hay matices, no creo que este iPhone sea un éxito en ventas y no creo que dure mas de 2 años en la cartera de Apple para futuras actualizaciones.",5,2026-09-10T02:54:15Z,0,83,"no soy de lanzar hate, soy de reconocer lo obvio. tsantos es un creador de contenido, crea contenido ya desde hace varios años para apple, por algo lo siguen invitando, obviamente que todo confabula para que lo que cada año anuncien, cada año ¨sea mas y mas increible, asombroso, lo mejor¨ y sabemos que hay matices, no creo que este iphone sea un éxito en ventas y no creo que dure mas de 2 años en la cartera de apple para futuras actualizaciones.","Probando el iPhone Duo, iPhone 18 Pro y Más!",Tech Santos,891482,21051,83,SKIPPED,SKIPPED,SKIPPED
XRKjMvfYV0o,Ugx1slhpTJY_AX9-fud4AaABAg,Which color is available?  Which looks best?,1,2026-09-11T03:43:05Z,0,7,which color is available? which looks best?,iPhone Duo Hands-On - What You NEED to Know!,The Tech Chap,1269878,8878,7,foldable_design,neutral,considering
XRKjMvfYV0o,Ugx8AaQHYRH8elmltS94AaABAg,Those animations look amazing. Apple have convinced me with this thing. Impressed,3,2026-09-10T20:57:06Z,0,12,those animations look amazing. apple have convinced me with this thing. impressed,iPhone Duo Hands-On - What You NEED to Know!,The Tech Chap,1269878,8878,12,foldable_design,positive,considering
PCkZ5pfo-pI,UgyyobP8QtHtBx5crIJ4AaABAg,Phones are nolonger that interesting 🤔,0,2026-09-11T09:15:44Z,0,6,phones are nolonger that interesting 🤔,iPhone 18 Pro Max - Watch BEFORE You Buy!,SuperSaf,658916,4461,6,none / general,negative,not_buying
ZzGzNdppGS8,Ugw7KS0FTOfgZL4mD4V4AaABAg,So they just took what Samsung already did. Who&#39;s paying that much for this thing?,3,2026-09-09T19:35:20Z,1,15,so they just took what samsung already did. who's paying that much for this thing?,"Apple Unveils $1,999 Foldable iPhone Duo",Bloomberg Television,149189,511,15,comparison_samsung,negative,not_buying
fBYusyB43z4,UgzvNeJU5I7a1Etzt2d4AaABAg,"I currently have the 11 pro max. I definitely plan on upgrading to the 18 pro max within the next few months. It&#39;s old and long overdue with battery replacements, overheating, and slow performance.",7,2026-09-11T17:02:08Z,0,34,"i currently have the 11 pro max. i definitely plan on upgrading to the 18 pro max within the next few months. it's old and long overdue with battery replacements, overheating, and slow performance.",iPhone 18 Pro Max / iPhone Duo: DON'T WASTE YOUR MONEY!,Alex Gear & Tech,191934,3003,34,upgrade,positive,buy
HTxGdXmbozQ,UgxTyeK8IXcVYy1t3ud4AaABAg,This is a day 1 preorder for me my birthday is October 1st this will be a birthday gift to myself this year 🔥🔥,0,2026-09-11T10:27:17Z,0,24,this is a day 1 preorder for me my birthday is october 1st this will be a birthday gift to myself this year,iPhone Duo Hands-On: Apple's Foldable is Finally Here!,Andru Edwards,189521,1625,23,none / general,positive,buy
lTYHROseqno,Ugy39_4X74v9Ys3DuUx4AaABAg,Duo look much more premium.,0,2026-09-13T12:59:35Z,0,5,duo look much more premium.,iPhone Duo vs. Galaxy Z Fold 8 | Which Design Wins? #foldablephones #apple #samsung,Tom’s Guide,671250,4347,5,foldable_design,positive,unknown
Zt-fS0DH8BQ,UgzuaiW0qmQ393K2vVF4AaABAg,"Dang! As with my last MacBook Pro, I just bought an iPhone 17 Pro less than 2 weeks before the launch of the new model. My timing with Apple always sucks! But I do still really like my 17 Pro and MacBook Pro.",0,2026-09-10T16:15:39Z,3,43,"dang! as with my last macbook pro, i just bought an iphone 17 pro less than 2 weeks before the launch of the new model. my timing with apple always sucks! but i do still really like my 17 pro and macbook pro.",iPhone 18 Pro & Duo: A Photographer's Reaction,Tyler Stalman,521951,6481,43,upgrade,neutral,not_buying
XUzwAiLkkCs,UgzQ5SbtwcfA1pPTvbJ4AaABAg,"I don&#39;t understand why you find dystopian putting a cartoon so the kid looks at the right spot. Not criticizing, just wondering what I&#39;m missing.",45,2026-09-10T05:29:55Z,10,25,"i don't understand why you find dystopian putting a cartoon so the kid looks at the right spot. not criticizing, just wondering what i'm missing.",iPhone Duo Has A Problem.,AppleTrack,235957,5336,25,ai_siri,neutral,unknown
o8oLPMpG4X8,Ugzo_HIeJRZnS9TAubx4AaABAg,"Might have made this a bit early. <br><br>iPhone Duo (not ultra) has pen support. Also, under display camera that won&#39;t disrupt screen. Bonus the iPhone will come with a larger battery. Plus bonus is flex and tent modes that Samsung doesn&#39;t have.  If we are calculating discounts and trade ins the phones will be similar in price.",19,2026-09-09T19:05:48Z,19,57,"might have made this a bit early. iPhone Duo (not ultra) has pen support. also, under display camera that won't disrupt screen. bonus the iphone will come with a larger battery. plus bonus is flex and tent modes that samsung doesn't have. if we are calculating discounts and trade ins the phones will be similar in price.",iPhone Duo vs Z Fold 8 - The $2000 Mistake Unfolded!,DKHD,87471,189,57,comparison_samsung,positive,considering
WZramr1owj4,UgxXom5Lm2DbgAdrQCh4AaABAg,"Da possessore di z Fold 8 e con l&#39;esperienza di qualche mese di foldable formato pocket, sono sicurissimo che gli utenti Apple adoreranno questo Duo per la praticità di un dispositivo che entrerà comodamente in tasca, leggero, BILANCIATO in mano e che solo all&#39;occorrenza diventerà un bel tablet da 7,6 pollici. <br><br>Scopriranno che la maggior parte del tempo lo utilizzeranno da chiuso con tutto il piacere di avere un dispositivo bilanciato nel palmo della mano, senza inutile e pesante spazio fuori dall&#39;area visiva. Sarà come tornare un pò indietro nel tempo, ma si accorgeranno presto di quanto sia stato sacrificato negli anni in termini di comodità per avere un 16:9 da sfruttare ramente e solo in determinate condizioni.<br><br>Dopo qualche settimana non riuscirete a tornare più indietro..a quelle pesanti, innaturali ed ingestibili &quot;Ciabatte&quot; che ci hanno condizionato a vedere e registrare il mondo solo in verticale 😉👋🏻",0,2026-09-12T07:42:05Z,0,146,"da possessore di z fold 8 e con l'esperienza di qualche mese di foldable formato pocket, sono sicurissimo che gli utenti apple adoreranno questo duo per la praticità di un dispositivo che entrerà comodamente in tasca, leggero, bilanciato in mano e che solo all'occorrenza diventerà un bel tablet da 7,6 pollici. scopriranno che la maggior parte del tempo lo utilizzeranno da chiuso con tutto il piacere di avere un dispositivo bilanciato nel palmo della mano, senza inutile e pesante spazio fuori dall'area visiva. sarà come tornare un pò indietro nel tempo, ma si accorgeranno presto di quanto sia stato sacrificato negli anni in termini di comodità per avere un 16:9 da sfruttare ramente e solo in determinate condizioni. dopo qualche settimana non riuscirete a tornare più indietro..a quelle pesanti, innaturali ed ingestibili ""ciabatte"" che ci hanno condizionato a vedere e registrare il mondo solo in verticale",iPhone Duo FA SCHIFO?,Manuel Agostini,51630,816,146,SKIPPED,SKIPPED,SKIPPED
EKfHv_xOZRw,UgwLfIDdzb1tACbS5ut4AaABAg,my iPhone SE 2020 is still good. Thanks!,6,2026-09-10T05:14:50Z,3,8,my iphone se 2020 is still good. thanks!,iPhone 18 Pro hands-on,The Verge,267790,1817,8,upgrade,positive,not_buying
eei604kBYuk,UgwKc4N4m7cuLmej7Yp4AaABAg,Justine since you said you are left handed I was wondering if you could test the iPhone duo with the toolbar on the right side of the phone.,1,2026-09-12T08:26:21Z,0,28,justine since you said you are left handed i was wondering if you could test the iPhone Duo with the toolbar on the right side of the phone.,iPhone Duo - First impressions 😍,iJustine,458662,8021,28,multitasking,neutral,unknown
OVtcgqufnHc,UgxqU1YSpQfeRNehWFR4AaABAg,"I wish there were an option for the folio case without the front cover.<br>I&#39;&#39;d want quick and easy access to the outer display, like with the regular Duo case, but I want to have the kickstand of the Folio case.",158,2026-09-10T14:49:49Z,12,40,"i wish there were an option for the folio case without the front cover. i''d want quick and easy access to the outer display, like with the regular duo case, but i want to have the kickstand of the folio case.",Apple's Official iPhone Duo Cases: Are They Worth It?,AppleInsider,956178,5301,41,foldable_design,neutral,considering
3eODZWGo6hE,UgzJvAsuXFsrWHJYlxN4AaABAg,"<a href=""https://www.youtube.com/watch?v=3eODZWGo6hE&amp;t=72"">1:12</a> is the economy, the same as when those iPhones were released?",0,2026-09-12T03:10:55Z,0,13,"1:12 is the economy, the same as when those iphones were released?",What Apple DIDN’T Tell You About iPhone 18 Pro & iPhone Duo!,9to5Mac,581845,7820,12,price,negative,unknown
PCkZ5pfo-pI,UgzxioNNR9h-BseA-l14AaABAg,I saw the regular pro gets the c2 modem chip while the max doesn’t? Is that a big difference?,0,2026-09-12T06:22:39Z,0,19,i saw the regular pro gets the c2 modem chip while the max doesn’t? is that a big difference?,iPhone 18 Pro Max - Watch BEFORE You Buy!,SuperSaf,658916,4461,19,performance,neutral,unknown
vDPlRTGSDy0,UgxC74JUUImk_bU0hxF4AaABAg,Silver or Glacier<br>both looks sick,12,2026-09-10T02:07:40Z,0,5,silver or glacier both looks sick,iPhone 18 Pro All New Colors Hands-on,EMKWAN REVIEWS,537094,3189,6,foldable_design,positive,unknown
sL6OWsT47zc,UgwO7CovzKMtJzq70fp4AaABAg,Can’t wait for you to get sponsored by Apple get a free IPhone and another mansion and say how Genius it is. Love you Linus ❤,4,2026-09-11T16:21:47Z,0,26,can’t wait for you to get sponsored by apple get a free iphone and another mansion and say how genius it is. love you linus,"Apple just Copied Microsoft’s Worst Idea - iPhone Duo, Airpods 5, iPhone 18 Pro & More",Linus Tech Tips,3042811,43017,25,none / general,negative,unknown
6D__H_DO2Xk,UgwxuvfQ5LCibupvLsB4AaABAg,They said the same thing when they were asked about the iPod and iPhone and eventually the iPhone made the iPod obsolete,251,2026-09-12T22:14:49Z,16,22,they said the same thing when they were asked about the ipod and iphone and eventually the iphone made the ipod obsolete,iPhone Duo: What We Missed!,Marques Brownlee,6133887,100570,22,foldable_design,positive,unknown
-2w8N4oll2I,UgytUAWexkJiXP-aeGB4AaABAg,Samung did the iphone duo screen better than their own samsung folding phones? I got the zflip and the crease is so obvious.,1,2026-09-11T17:25:17Z,0,23,samung did the iPhone Duo screen better than their own samsung folding phones? i got the zflip and the crease is so obvious.,iPhone Duo | iPhone 18 Pro Max - Everything NEW!,Hayls World,1376784,11984,23,display,positive,unknown
-YGEQlw8_G4,UgxtP0IoqrvxJnVHH4Z4AaABAg,I am going to order the 512 Gb duo in blue I can’t wait,2,2026-09-10T07:01:09Z,0,14,i am going to order the 512 gb duo in blue i can’t wait,iPhone Duo & iPhone 18 Pro -- Hands On & First Impressions!,AppleInsider,176771,1143,14,none / general,positive,buy
JDHIKznOpFg,UgyyUJxfP6hUI4t1S0h4AaABAg,Itu cewe apple di belakang curi2 pandang terus 😏. Bungkus apple yg di belakang aja Koh 🤣,2,2026-09-10T02:42:29Z,0,17,itu cewe apple di belakang curi2 pandang terus . bungkus apple yg di belakang aja koh 🤣,Nyicipin iPhone Duo | Langsung dari Apple Event 2026,Bestindotech,404651,2501,17,SKIPPED,SKIPPED,SKIPPED
kb8yuvdbbq8,Ugy_6pu0sHkpJEAZg_p4AaABAg,No doubt Apple did a GREAT Job and BTW Apple Pencil support for both displays mind you 🔥🔥🔥🔥 Thanks To Samsung and Apple keeping up competition WE all win 😉,0,2026-09-12T15:24:00Z,0,30,no doubt apple did a great job and btw apple pencil support for both displays mind you thanks to samsung and apple keeping up competition we all win,iPhone Duo vs Z Fold 8 // Just Stop It!,TechOdyssey,40486,1008,28,ecosystem,positive,unknown
Zt-fS0DH8BQ,UgwqEZX_-LbVvfv1nZx4AaABAg,Good stuff as always. Thank you.,1,2026-09-10T16:03:16Z,0,6,good stuff as always. thank you.,iPhone 18 Pro & Duo: A Photographer's Reaction,Tyler Stalman,521951,6481,6,none / general,positive,unknown
2qNfOa5AuVU,Ugx3J_oMkQR3cu2jOZ54AaABAg,Too small the matte display and the huge rounded corners and no in display fingerprint sensor are a deal breaker,8,2026-09-09T23:02:41Z,4,20,too small the matte display and the huge rounded corners and no in display fingerprint sensor are a deal breaker,I Tried the iPhone Duo... Is It Worth It?,Tom’s Guide,314367,3007,20,display,negative,not_buying
BMWXCpU1A6A,UgwRtR9d_9-rdMRkj8V4AaABAg,How about the Cellular modems? They are using ones that are 2 and 3 generations old. You pay all that money and you get cellular connectivity from 3 and 4 years ago. <br>Everything is so damn expensive and now we&#39;re also being shorted hardware at that price. <br>Fu apple.,5,2026-09-10T19:16:58Z,2,49,how about the cellular modems? they are using ones that are 2 and 3 generations old. you pay all that money and you get cellular connectivity from 3 and 4 years ago. everything is so damn expensive and now we're also being shorted hardware at that price. fu apple.,iPhone 18 Pro Max vs Samsung Galaxy S26 Ultra - Did NOT Expect This.,XEETECHCARE,159368,1150,49,performance,negative,not_buying
q-EkmUyqXas,UgwcaVzftD-avl4LdpN4AaABAg,I literally forgot iphone 18 pro max exists beacuse of iphone duo ...lol..,26,2026-09-09T20:41:22Z,2,13,i literally forgot iPhone 18 Pro Max exists beacuse of iPhone Duo .lol..,iPhone 18 Pro Max – ALL NEW FEATURES + Should You BUY It?,Karl Conrad,697692,2989,13,foldable_design,positive,considering
GZPKac9mu0o,UgwWeRokT4UekwgrYHV4AaABAg,lol.... they are going to charge.customers another $200 for the pen.😂,7,2026-09-11T22:46:50Z,0,11,lol. they are going to charge.customers another $200 for the pen.,iPhone Duo vs Samsung Galaxy Z Fold 8 - This is Embarrassing.,XEETECHCARE,275304,2616,11,ecosystem,negative,unknown
_4DqqXrPcf0,UgxdDggUkZQL712uIal4AaABAg,iPhone 18 pro max I just love the colours,0,2026-09-12T18:15:57Z,0,9,iPhone 18 Pro Max i just love the colours,iPhone 18 Pro or iPhone 17 Pro 🤔,mobiscrub,899825,21295,9,foldable_design,positive,unknown
0tByRTONOrA,Ugz7lK3qB3Z4GnqzGTh4AaABAg,"Ab iphone lene ka sapna, sapna hi rehe jaega! Lagta hai 😢😂",1,2026-09-10T06:56:32Z,0,12,"ab iphone lene ka sapna, sapna hi rehe jaega! lagta hai",Apple iPhone 18 Pro & iPhone Duo Price #shorts,Gyan Therapy,1489849,61199,11,SKIPPED,SKIPPED,SKIPPED
